Longitude,Latitude,id,RSRP,L,FB,PCI,RSRQ,RSSI,RSP,D,SINR,Hb,Hm,Husr,deltaH,LOS,UCI,CCI
12.519994,55.779483,177,-66.48,616.820535,811,64,-12.96,-46.4,18,617.4786007609383,25.95,60,1.5,36.0,24.0,False,14,14
12.519992,55.779479,178,-66.48,617.2809510000001,811,64,-12.96,-46.4,18,617.9385264469796,25.95,60,1.5,36.0,24.0,False,14,14
12.51999,55.779475,179,-66.48,617.741369,811,64,-12.96,-46.4,18,618.3984548606135,25.95,60,1.5,36.0,24.0,False,14,14
12.519987,55.779471,180,-66.48,618.2239000000001,811,64,-12.96,-46.4,18,618.8804735417091,25.95,60,1.5,36.0,24.0,False,14,14
12.519985,55.779468,181,-66.48,618.5802689999999,811,64,-12.96,-46.4,18,619.236464685432,25.95,60,1.5,36.0,24.0,False,14,14
12.519983,55.779464,182,-66.48,619.0406899999999,811,64,-12.96,-46.4,18,619.6963981464439,25.95,60,1.5,36.0,24.0,False,14,14
12.519981,55.779461,183,-66.48,619.39706,811,64,-12.96,-46.4,18,620.0523912837073,25.95,60,1.5,36.0,24.0,False,14,14
12.519979,55.779457,184,-65.51,619.857483,811,64,-12.95,-45.65,18,620.5123280250726,25.35,60,1.5,36.0,24.0,False,14,14
12.519977,55.779454,185,-65.51,620.213853,811,64,-12.95,-45.65,18,620.8683221530194,25.35,60,1.5,36.0,24.0,False,14,14
12.519975,55.77945,186,-65.51,620.674278,811,64,-12.95,-45.65,18,621.3282621697015,25.35,60,1.5,36.0,24.0,False,14,14
12.519973,55.779447,187,-65.51,621.0306479999999,811,64,-12.95,-45.65,18,621.6842572844351,25.35,60,1.5,36.0,24.0,False,14,14
12.519971,55.779443,188,-65.51,621.4910769999999,811,64,-12.95,-45.65,18,622.1442025693239,25.35,60,1.5,36.0,24.0,False,14,14
12.519969,55.77944,189,-65.51,621.8474470000001,811,64,-12.95,-45.65,18,622.5001986669706,25.35,60,1.5,36.0,24.0,False,14,14
12.519967,55.779436,190,-65.51,622.307878,811,64,-12.95,-45.65,18,622.9601472171898,25.35,60,1.5,36.0,24.0,False,14,14
12.519965,55.779433,191,-65.51,622.6642479999999,811,64,-12.95,-45.65,18,623.3161442938931,25.35,60,1.5,36.0,24.0,False,14,14
